hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,booking_changes,reserved_room_type,assigned_room_type,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,1,272,2017,June,0,7,2,0,0,Undefined,DEU,Online TA,TA/TO,0,0,0,D,D,No Deposit,0,Transient-Party,139.3,0,1
City Hotel,0,26,2015,April,4,7,2,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,1,A,D,No Deposit,0,Transient,42.7,0,0
Resort Hotel,0,13,2016,February,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,B,No Deposit,0,Transient-Party,159.8,0,0
City Hotel,1,27,2015,March,1,5,2,0,0,BB,GBR,Direct,GDS,0,2,1,B,B,No Deposit,0,Group,161.6,0,0
Resort Hotel,0,76,2017,March,4,1,2,0,0,Undefined,ITA,Online TA,Direct,0,0,1,B,B,No Deposit,0,Transient,137.61,0,1
City Hotel,1,16,2016,December,0,1,1,0,0,BB,FRA,Groups,Direct,0,0,0,E,E,No Deposit,0,Transient,117.65,0,1
City Hotel,1,191,2016,March,0,0,1,0,0,BB,FRA,Groups,TA/TO,0,0,1,F,F,No Deposit,2,Transient,124.23,0,0
Resort Hotel,1,42,2015,April,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,A,No Deposit,0,Transient-Party,82.41,0,1
Resort Hotel,0,151,2015,July,0,1,2,0,0,FB,BEL,Groups,Corporate,0,0,0,F,D,No Deposit,0,Transient,66.85,0,0
Resort Hotel,0,22,2016,September,4,7,2,0,0,SC,DEU,Offline TA/TO,Corporate,0,0,0,E,A,No Deposit,0,Transient,77.99,0,0
City Hotel,0,30,2017,October,0,4,2,1,0,BB,FRA,Direct,Direct,0,0,0,C,A,No Deposit,0,Transient-Party,54.54,0,3
City Hotel,1,4,2015,April,2,6,1,2,0,Undefined,DEU,Online TA,TA/TO,0,1,2,C,B,No Deposit,0,Transient,65.45,0,0
City Hotel,0,23,2016,July,3,1,2,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,Non Refund,0,Transient-Party,83.94,0,2
City Hotel,0,53,2016,October,2,7,2,0,0,BB,FRA,Online TA,GDS,0,0,0,F,D,No Deposit,0,Transient,128.11,0,2
Resort Hotel,1,233,2017,June,2,0,2,0,0,BB,ESP,Groups,TA/TO,0,0,0,E,E,No Deposit,0,Transient,56.4,0,2
Resort Hotel,0,39,2016,October,0,3,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,C,No Deposit,0,Transient,61.98,0,0
Resort Hotel,0,81,2015,September,3,6,2,0,0,BB,PRT,Corporate,GDS,0,0,1,C,A,Non Refund,1,Transient,125.13,0,0
Resort Hotel,0,44,2016,August,4,0,2,0,0,HB,DEU,Online TA,GDS,0,0,0,B,E,Non Refund,0,Transient,155.59,0,2
Resort Hotel,0,3,2017,February,4,2,1,1,0,SC,IRL,Direct,TA/TO,0,1,0,C,E,No Deposit,0,Transient-Party,124.33,0,0
City Hotel,1,56,2017,March,1,2,2,0,0,BB,IRL,Direct,GDS,0,0,0,A,B,Non Refund,0,Transient,126.03,0,1
City Hotel,0,5,2017,June,2,4,1,1,0,BB,PRT,Online TA,Direct,0,0,0,C,F,No Deposit,0,Transient,145.47,0,2
City Hotel,1,172,2015,May,2,2,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,1,B,F,No Deposit,0,Contract,45.26,0,0
Resort Hotel,0,111,2015,February,1,3,2,0,0,BB,BEL,Direct,Direct,0,0,0,C,B,No Deposit,0,Transient,31.5,0,2
City Hotel,0,38,2015,February,0,5,1,0,0,BB,BRA,Online TA,Corporate,0,0,0,C,E,No Deposit,0,Transient,51.02,0,0
City Hotel,0,81,2016,May,4,3,2,1,0,BB,NLD,Direct,TA/TO,0,0,0,F,B,No Deposit,0,Transient,79.25,0,1
City Hotel,0,9,2017,May,4,0,1,0,0,BB,BRA,Groups,TA/TO,0,0,0,E,F,No Deposit,0,Transient,108.24,0,3
Resort Hotel,1,97,2017,January,1,6,2,0,0,HB,FRA,Groups,TA/TO,0,0,0,C,A,Non Refund,0,Transient,40.71,0,0
Resort Hotel,0,138,2017,October,1,7,1,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,D,D,Non Refund,0,Transient,198.55,0,0
Resort Hotel,0,137,2015,November,1,6,2,0,0,HB,DEU,Groups,Direct,0,0,1,D,A,No Deposit,0,Transient,91.17,0,0
Resort Hotel,0,26,2017,March,3,4,1,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,D,A,No Deposit,0,Transient,164.02,0,0
City Hotel,0,24,2016,September,2,6,1,0,0,SC,ITA,Online TA,TA/TO,0,1,0,F,A,No Deposit,0,Transient,58.32,0,0
Resort Hotel,0,58,2016,October,4,6,2,0,0,SC,NLD,Online TA,TA/TO,0,0,1,F,D,No Deposit,0,Group,40.89,0,0
Resort Hotel,1,274,2015,March,0,0,3,0,0,FB,PRT,Online TA,TA/TO,0,0,2,C,C,No Deposit,0,Transient,92.05,0,0
City Hotel,1,202,2015,June,3,7,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,B,A,No Deposit,0,Transient,25.6,0,0
City Hotel,0,35,2015,June,2,8,1,0,0,BB,GBR,Online TA,Direct,0,0,3,D,B,No Deposit,0,Transient,70.34,0,0
City Hotel,1,121,2017,February,3,0,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,F,No Deposit,0,Transient,74.05,0,1
City Hotel,0,203,2017,July,2,0,2,0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,B,No Deposit,0,Transient,88.74,0,1
Resort Hotel,0,24,2017,September,1,2,3,0,0,HB,FRA,Groups,TA/TO,0,2,0,A,D,No Deposit,0,Transient,158.05,0,0
Resort Hotel,1,141,2016,September,0,7,2,0,0,BB,NLD,Online TA,TA/TO,0,1,0,C,F,No Deposit,0,Transient,73.07,0,1
Resort Hotel,0,24,2016,August,1,8,3,0,0,HB,BEL,Online TA,Direct,0,2,0,B,E,No Deposit,0,Transient,57.31,0,0
City Hotel,0,33,2017,May,4,1,1,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,C,C,No Deposit,0,Transient,71.84,0,3
City Hotel,1,17,2016,August,4,0,2,0,0,BB,IRL,Groups,TA/TO,0,1,0,A,A,No Deposit,0,Transient,143.63,0,1
Resort Hotel,0,56,2016,September,4,3,1,0,0,Undefined,FRA,Offline TA/TO,GDS,0,0,0,D,D,No Deposit,0,Group,173.66,0,1
City Hotel,0,148,2015,January,4,1,2,0,0,Undefined,DEU,Online TA,TA/TO,0,0,0,E,F,No Deposit,0,Transient-Party,81.87,0,0
Resort Hotel,0,60,2017,January,3,8,2,0,0,BB,ESP,Corporate,TA/TO,0,0,0,E,F,No Deposit,0,Transient,75.4,0,0
City Hotel,0,10,2016,November,0,8,1,0,0,Undefined,PRT,Online TA,TA/TO,0,0,2,B,C,No Deposit,0,Transient-Party,45.55,0,1
Resort Hotel,1,23,2016,May,0,4,2,0,0,HB,ESP,Corporate,TA/TO,0,0,0,C,D,No Deposit,0,Transient,128.79,1,0
Resort Hotel,0,66,2017,July,4,4,2,0,0,HB,FRA,Corporate,Direct,0,0,0,E,D,No Deposit,0,Transient-Party,119.41,0,0
City Hotel,0,70,2017,September,2,8,2,1,1,BB,ESP,Offline TA/TO,TA/TO,0,0,1,C,F,No Deposit,0,Transient,109.36,0,1
City Hotel,1,68,2015,September,1,6,2,0,0,SC,NLD,Groups,TA/TO,0,0,1,A,C,No Deposit,0,Transient,94.79,0,0
City Hotel,0,6,2015,March,4,1,2,0,0,HB,NLD,Direct,Corporate,0,0,1,E,C,Non Refund,0,Transient,75.27,0,1
Resort Hotel,1,112,2017,January,2,5,3,0,0,BB,BEL,Groups,GDS,0,0,0,E,D,No Deposit,0,Transient,79.78,0,0
Resort Hotel,0,192,2016,March,0,5,1,0,0,FB,NLD,Corporate,TA/TO,0,0,0,D,A,No Deposit,0,Contract,149.44,0,0
Resort Hotel,0,57,2015,August,1,0,2,0,0,Undefined,FRA,Online TA,TA/TO,0,0,1,B,B,No Deposit,0,Transient-Party,43.77,0,1
City Hotel,0,101,2017,July,0,1,3,0,1,HB,GBR,Online TA,TA/TO,0,0,0,D,B,No Deposit,0,Transient,206.05,0,1
City Hotel,1,196,2015,May,0,1,2,0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,2,F,B,No Deposit,0,Transient,119.22,0,2
City Hotel,0,82,2016,November,3,0,1,0,1,FB,ESP,Offline TA/TO,TA/TO,0,0,2,C,F,No Deposit,0,Transient,62.2,0,1
Resort Hotel,1,89,2016,October,1,5,2,0,0,HB,NLD,Online TA,Corporate,0,0,0,A,F,No Deposit,0,Transient,96.98,0,0
City Hotel,0,102,2017,December,3,2,2,0,0,BB,GBR,Direct,TA/TO,0,0,0,E,B,No Deposit,0,Transient,90.37,0,1
City Hotel,0,24,2015,September,4,8,2,1,0,BB,BRA,Online TA,Corporate,0,0,0,B,A,No Deposit,0,Transient,51.75,0,0
City Hotel,1,69,2016,April,1,7,2,1,0,BB,ESP,Offline TA/TO,TA/TO,0,0,2,E,F,No Deposit,0,Transient,32.57,0,2
Resort Hotel,1,147,2016,June,2,6,1,0,0,FB,ESP,Online TA,Corporate,0,0,0,C,D,No Deposit,0,Transient,101.98,0,0
City Hotel,0,28,2015,December,0,4,2,0,0,BB,NLD,Corporate,Direct,0,0,0,D,C,No Deposit,5,Transient,111.88,0,0
City Hotel,0,181,2017,May,0,2,1,1,0,FB,ITA,Online TA,Direct,0,0,0,E,E,No Deposit,2,Transient,40.19,0,2
City Hotel,0,77,2015,June,3,6,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,B,Non Refund,0,Contract,117.56,1,0
City Hotel,0,44,2015,April,3,5,2,2,0,HB,DEU,Online TA,TA/TO,0,2,0,C,E,No Deposit,0,Transient,258.42,0,0
Resort Hotel,0,78,2015,March,3,1,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,B,No Deposit,10,Transient,108.3,1,0
City Hotel,0,41,2015,May,1,4,2,0,0,SC,BEL,Online TA,TA/TO,0,0,1,B,A,No Deposit,0,Transient,166.57,0,0
City Hotel,1,145,2015,May,0,4,2,0,0,BB,IRL,Direct,TA/TO,0,0,0,D,C,No Deposit,0,Transient,109.11,0,0
Resort Hotel,0,52,2016,November,2,2,1,0,0,Undefined,NLD,Offline TA/TO,Corporate,0,0,0,A,A,No Deposit,0,Contract,112.6,0,0
Resort Hotel,1,185,2017,February,1,1,2,0,0,BB,PRT,Online TA,Corporate,0,0,0,D,C,No Deposit,0,Transient,98.79,0,0
Resort Hotel,0,57,2017,October,0,1,2,0,0,BB,IRL,Groups,TA/TO,0,0,1,F,D,No Deposit,0,Group,88.73,0,1
City Hotel,1,86,2016,April,4,4,2,0,0,SC,NLD,Online TA,TA/TO,1,0,0,F,E,No Deposit,10,Transient-Party,35.51,0,1
Resort Hotel,1,487,2017,March,4,0,2,1,0,SC,IRL,Offline TA/TO,TA/TO,0,0,0,B,E,No Deposit,0,Transient,95.26,0,1
City Hotel,0,12,2017,July,3,5,1,0,0,BB,BRA,Online TA,Corporate,0,0,1,B,A,No Deposit,0,Transient,75.18,0,1
Resort Hotel,1,106,2015,May,3,8,3,0,0,Undefined,ESP,Online TA,TA/TO,0,0,0,B,D,Non Refund,1,Transient,102.09,0,1
City Hotel,0,11,2017,June,3,0,2,0,0,Undefined,PRT,Online TA,GDS,0,0,0,D,E,No Deposit,0,Transient,27.98,0,1
Resort Hotel,1,146,2015,November,0,2,1,0,0,BB,PRT,Online TA,Corporate,0,0,0,A,D,No Deposit,0,Transient-Party,117.24,0,1
Resort Hotel,0,72,2017,July,3,4,1,0,0,Undefined,ITA,Online TA,TA/TO,0,0,0,F,C,No Deposit,0,Transient,85.84,0,0
City Hotel,0,222,2016,February,2,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,B,B,No Deposit,0,Contract,69.88,0,0
City Hotel,1,160,2017,October,2,1,2,0,0,SC,BEL,Offline TA/TO,TA/TO,0,0,0,C,F,No Deposit,0,Transient,79.1,0,0
Resort Hotel,0,6,2016,April,4,2,2,0,0,BB,NLD,Direct,TA/TO,0,0,0,A,A,Refundable,0,Transient,500.0,0,2
Resort Hotel,0,11,2015,June,1,6,2,0,0,BB,NLD,Groups,GDS,0,0,1,B,E,No Deposit,0,Transient,36.28,1,2
Resort Hotel,0,73,2015,March,0,6,1,0,0,SC,NLD,Online TA,TA/TO,0,0,0,D,C,Non Refund,0,Transient,75.63,2,4
City Hotel,0,58,2015,June,1,4,2,0,0,HB,DEU,Corporate,TA/TO,0,0,1,E,D,No Deposit,0,Contract,33.37,0,4
City Hotel,0,14,2015,October,3,1,2,0,0,HB,DEU,Online TA,Direct,0,0,0,C,C,No Deposit,0,Transient,153.9,0,0
City Hotel,0,11,2016,January,0,0,2,2,0,BB,IRL,Direct,TA/TO,0,0,0,D,E,No Deposit,0,Transient,200.38,0,4
City Hotel,0,66,2017,August,3,2,1,0,0,Undefined,ITA,Online TA,Direct,0,0,0,D,F,Non Refund,0,Contract,106.05,0,2
City Hotel,0,4,2015,October,1,6,2,0,0,BB,FRA,Offline TA/TO,Direct,0,0,0,C,D,No Deposit,0,Transient,76.08,0,0
Resort Hotel,0,165,2015,May,4,0,2,2,0,FB,GBR,Offline TA/TO,TA/TO,0,0,1,A,E,Non Refund,0,Transient,48.39,0,0
City Hotel,0,131,2015,November,2,6,3,0,0,HB,FRA,Online TA,TA/TO,0,0,0,F,C,Non Refund,0,Transient,63.27,0,0
City Hotel,0,123,2016,January,2,5,2,2,0,BB,PRT,Corporate,TA/TO,0,0,0,B,E,No Deposit,0,Transient,128.65,0,0
Resort Hotel,0,1,2016,October,2,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,No Deposit,0,Transient,103.95,1,0
Resort Hotel,0,3,2016,October,0,5,1,0,0,SC,ITA,Direct,Direct,0,0,1,B,E,No Deposit,0,Transient,208.45,0,0
Resort Hotel,1,63,2017,November,3,3,1,0,0,BB,FRA,Groups,TA/TO,0,0,0,F,C,No Deposit,0,Contract,159.11,0,0
Resort Hotel,1,415,2017,January,2,4,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,C,Refundable,0,Transient,49.53,2,2
City Hotel,0,33,2015,November,3,2,2,1,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,E,A,No Deposit,0,Transient,57.38,0,0
City Hotel,0,33,2016,October,2,8,2,0,0,Undefined,FRA,Offline TA/TO,TA/TO,0,0,1,D,B,No Deposit,0,Group,139.82,0,2
City Hotel,0,11,2017,December,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,C,No Deposit,0,Transient,88.78,0,3
City Hotel,0,89,2017,March,4,6,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,F,E,No Deposit,0,Contract,96.8,0,1
City Hotel,0,83,2016,June,3,4,2,1,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,B,B,No Deposit,0,Group,210.51,0,0
City Hotel,0,8,2017,February,0,8,2,0,0,BB,IRL,Online TA,Corporate,0,0,2,F,B,No Deposit,1,Transient,36.29,0,0
Resort Hotel,0,50,2016,August,2,1,3,0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,D,Non Refund,0,Transient,188.66,0,0
Resort Hotel,0,87,2016,November,1,5,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,E,No Deposit,0,Transient,81.07,0,2
City Hotel,1,54,2016,October,2,2,3,0,0,BB,GBR,Corporate,Corporate,0,0,0,E,B,No Deposit,0,Transient,106.54,0,0
Resort Hotel,0,89,2015,July,4,3,2,0,0,BB,NLD,Online TA,Corporate,0,0,0,A,A,No Deposit,2,Group,160.15,2,0
Resort Hotel,0,135,2017,November,2,3,2,0,0,Undefined,BRA,Direct,TA/TO,0,0,0,B,C,No Deposit,0,Contract,105.76,1,5
City Hotel,0,92,2015,February,4,1,3,1,0,SC,GBR,Online TA,Corporate,0,0,2,D,C,No Deposit,0,Transient,85.74,0,0
City Hotel,0,76,2016,January,3,0,1,0,1,HB,ITA,Online TA,TA/TO,1,0,0,C,D,No Deposit,0,Transient,118.95,0,3
Resort Hotel,0,153,2017,July,4,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,B,No Deposit,0,Transient,92.87,0,0
City Hotel,1,184,2017,July,1,7,1,0,0,BB,IRL,Groups,TA/TO,0,0,0,B,E,Non Refund,0,Transient,141.78,0,0
City Hotel,0,39,2015,March,1,2,2,0,0,HB,BEL,Online TA,TA/TO,0,0,0,F,B,No Deposit,0,Transient,104.91,0,2
Resort Hotel,0,15,2015,October,3,0,1,0,0,HB,IRL,Groups,GDS,0,0,0,A,C,No Deposit,0,Transient,51.62,0,2
Resort Hotel,1,136,2017,August,0,3,2,0,0,BB,ESP,Online TA,Corporate,0,0,0,E,C,No Deposit,0,Transient,59.1,0,0
City Hotel,0,19,2015,August,1,8,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,C,E,No Deposit,0,Group,113.76,0,0
Resort Hotel,0,211,2015,May,3,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,F,No Deposit,0,Transient,79.6,0,1
Resort Hotel,0,1,2016,July,3,8,2,0,0,BB,BEL,Corporate,TA/TO,1,0,0,C,A,Non Refund,2,Transient,145.82,0,0
City Hotel,1,203,2017,March,1,0,1,0,0,BB,GBR,Online TA,TA/TO,0,0,2,C,B,No Deposit,0,Group,111.68,0,0
City Hotel,0,71,2016,June,3,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,E,No Deposit,0,Transient,88.73,0,1
Resort Hotel,0,119,2016,March,3,5,3,2,0,Undefined,ITA,Online TA,Corporate,0,0,0,B,C,No Deposit,0,Transient,91.65,0,1
Resort Hotel,0,40,2017,November,2,2,2,1,0,HB,PRT,Groups,TA/TO,0,0,0,A,D,No Deposit,0,Transient,46.12,0,3
Resort Hotel,1,383,2017,December,3,7,2,0,0,Undefined,DEU,Offline TA/TO,TA/TO,0,0,0,B,C,No Deposit,0,Transient-Party,93.27,0,1
City Hotel,0,20,2016,September,1,3,3,0,0,HB,NLD,Offline TA/TO,TA/TO,0,0,0,C,C,No Deposit,0,Contract,147.87,0,4
Resort Hotel,0,24,2017,July,1,8,2,0,0,BB,FRA,Online TA,TA/TO,0,0,2,B,D,No Deposit,0,Transient,159.63,0,0
City Hotel,0,4,2016,January,1,5,2,0,0,BB,PRT,Direct,Corporate,0,2,0,F,F,No Deposit,0,Transient,116.85,0,0
City Hotel,1,225,2016,August,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,C,A,No Deposit,0,Transient,96.97,1,3
Resort Hotel,0,48,2015,September,1,0,2,0,0,BB,FRA,Online TA,Direct,0,0,0,F,C,No Deposit,0,Transient,129.6,0,0
City Hotel,1,89,2016,October,3,1,2,0,0,SC,BRA,Online TA,Corporate,0,0,0,C,F,No Deposit,0,Transient-Party,101.21,0,0
City Hotel,0,93,2017,February,4,0,2,0,0,BB,ITA,Offline TA/TO,Corporate,0,0,2,C,D,No Deposit,0,Transient,76.19,0,0
City Hotel,0,166,2016,January,2,7,2,0,0,BB,DEU,Direct,Corporate,0,0,0,D,D,No Deposit,5,Transient,47.3,0,1
Resort Hotel,1,87,2016,November,4,1,2,0,0,BB,IRL,Groups,TA/TO,0,0,0,E,E,No Deposit,0,Transient,56.17,0,1
City Hotel,0,66,2017,April,0,8,2,0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,F,No Deposit,0,Transient-Party,18.64,0,0
City Hotel,0,99,2017,September,4,8,2,0,0,FB,BEL,Offline TA/TO,TA/TO,0,0,0,A,B,No Deposit,0,Transient,44.49,0,0
City Hotel,1,111,2015,June,3,8,2,0,0,BB,PRT,Online TA,Direct,0,0,3,E,F,No Deposit,0,Transient,113.07,0,0
Resort Hotel,0,16,2017,November,2,5,2,1,0,Undefined,ESP,Online TA,TA/TO,0,0,3,E,D,No Deposit,0,Transient,100.07,0,0
City Hotel,0,9,2016,December,1,7,2,0,0,SC,FRA,Online TA,TA/TO,0,0,1,D,D,No Deposit,0,Transient,42.38,0,2
Resort Hotel,1,6,2017,October,1,2,3,0,0,Undefined,NLD,Groups,TA/TO,0,0,0,F,C,No Deposit,0,Transient,73.17,0,0
Resort Hotel,0,37,2017,August,4,8,2,0,0,BB,DEU,Groups,Direct,0,0,1,C,A,No Deposit,0,Transient-Party,117.18,0,3
City Hotel,1,55,2015,July,4,8,1,0,0,SC,ITA,Online TA,Direct,0,0,0,A,F,No Deposit,0,Transient,55.7,0,1
City Hotel,0,76,2016,May,4,4,1,0,0,BB,BRA,Online TA,TA/TO,0,0,1,A,E,No Deposit,0,Transient,59.66,0,0
City Hotel,1,253,2015,May,3,8,1,0,0,BB,FRA,Complementary,TA/TO,0,0,0,D,E,No Deposit,0,Transient,46.26,0,1
City Hotel,0,32,2015,June,1,7,3,0,0,BB,ESP,Corporate,GDS,1,0,0,E,B,No Deposit,0,Transient,53.04,0,0
City Hotel,0,114,2016,June,0,6,3,0,0,HB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,No Deposit,0,Group,95.83,0,3
Resort Hotel,0,60,2017,May,3,3,1,1,0,HB,ESP,Corporate,TA/TO,0,0,0,B,D,No Deposit,0,Transient,106.17,0,0
City Hotel,0,19,2016,August,1,4,1,0,0,BB,IRL,Online TA,TA/TO,0,0,1,E,E,Non Refund,0,Transient,47.96,0,2
Resort Hotel,0,76,2015,March,1,0,2,0,0,Undefined,PRT,Online TA,TA/TO,0,0,1,C,A,No Deposit,0,Transient,130.99,0,1
Resort Hotel,1,273,2015,September,1,4,2,0,0,Undefined,NLD,Online TA,Corporate,1,1,0,E,F,No Deposit,5,Transient,25.37,0,0
City Hotel,0,10,2016,May,1,1,2,0,0,HB,GBR,Corporate,TA/TO,0,0,0,D,F,No Deposit,2,Contract,98.29,0,2
City Hotel,0,56,2015,September,2,0,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,B,B,No Deposit,1,Transient-Party,86.12,0,0
City Hotel,0,4,2017,May,1,1,2,0,0,SC,GBR,Online TA,Corporate,0,0,0,D,D,No Deposit,0,Transient,88.17,0,0
City Hotel,0,30,2017,March,4,7,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,B,C,No Deposit,0,Transient,82.08,0,0
Resort Hotel,0,77,2016,September,1,5,1,0,0,SC,DEU,Corporate,Direct,0,0,0,D,F,No Deposit,0,Transient,40.38,0,0
Resort Hotel,0,147,2016,February,0,5,1,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,1,C,A,Non Refund,0,Transient,70.91,0,1
City Hotel,0,104,2017,December,2,8,2,0,0,SC,BEL,Groups,TA/TO,0,0,0,E,F,No Deposit,0,Transient,193.22,0,1
Resort Hotel,0,49,2016,May,0,1,2,0,0,SC,DEU,Online TA,TA/TO,0,0,1,F,E,No Deposit,0,Transient,64.63,0,1
Resort Hotel,0,191,2017,March,0,0,2,0,0,HB,IRL,Online TA,TA/TO,0,0,3,C,B,No Deposit,0,Transient,48.25,0,1
City Hotel,0,28,2017,July,0,4,2,1,0,BB,GBR,Online TA,GDS,0,0,1,E,A,No Deposit,0,Transient,55.4,0,1
Resort Hotel,1,112,2017,April,3,3,2,0,0,SC,PRT,Offline TA/TO,Corporate,0,0,2,D,D,No Deposit,0,Transient,96.08,0,0
Resort Hotel,0,51,2017,August,1,3,2,0,0,SC,ESP,Corporate,GDS,1,0,0,A,B,No Deposit,0,Transient,84.73,0,0
City Hotel,1,183,2016,January,1,7,2,0,0,HB,PRT,Online TA,Corporate,0,0,0,C,A,Non Refund,0,Transient,74.71,0,3
City Hotel,1,127,2017,May,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,C,D,Non Refund,0,Transient,116.19,0,0
City Hotel,0,185,2017,August,1,0,1,0,0,HB,NLD,Online TA,TA/TO,0,0,0,D,A,No Deposit,0,Transient,134.77,0,0
City Hotel,0,19,2015,February,3,1,2,0,0,BB,DEU,Online TA,GDS,0,0,1,C,C,No Deposit,0,Transient,75.39,0,0
City Hotel,0,88,2015,June,1,8,1,0,0,Undefined,DEU,Offline TA/TO,Direct,1,1,0,E,E,No Deposit,0,Transient,41.09,0,1
City Hotel,0,107,2015,July,1,6,2,0,0,HB,DEU,Direct,TA/TO,0,0,0,D,E,No Deposit,0,Transient,33.6,0,1
City Hotel,0,108,2015,June,0,3,1,0,0,BB,IRL,Direct,GDS,0,0,2,D,B,No Deposit,0,Transient,70.61,0,1
Resort Hotel,0,56,2016,October,2,8,1,0,0,Undefined,ITA,Online TA,Direct,0,0,0,E,A,No Deposit,0,Transient,139.38,0,0
Resort Hotel,0,0,2015,March,2,5,2,0,0,BB,BRA,Direct,TA/TO,0,0,0,B,C,No Deposit,0,Transient,60.55,1,1
City Hotel,0,24,2015,June,1,7,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,E,D,No Deposit,1,Transient,52.97,1,1
City Hotel,0,31,2015,July,0,4,1,0,0,SC,ESP,Corporate,TA/TO,0,0,0,D,F,No Deposit,1,Group,69.21,0,0
City Hotel,0,152,2016,March,2,1,1,0,0,SC,ITA,Direct,Corporate,0,0,0,C,B,No Deposit,1,Transient,30.78,0,0
City Hotel,0,147,2017,December,2,8,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,F,B,No Deposit,0,Group,143.71,0,0
City Hotel,0,8,2015,October,4,4,1,1,0,BB,IRL,Corporate,GDS,0,0,0,E,F,No Deposit,5,Transient,94.69,0,0
City Hotel,1,239,2017,February,2,3,2,0,0,BB,GBR,Online TA,Corporate,0,0,0,D,E,No Deposit,0,Contract,189.2,1,1
City Hotel,0,16,2015,March,3,7,2,0,0,BB,GBR,Offline TA/TO,Direct,0,0,0,F,A,No Deposit,0,Transient,67.04,0,0
Resort Hotel,0,42,2016,December,4,1,1,1,0,BB,DEU,Online TA,TA/TO,0,0,0,B,C,No Deposit,1,Transient,55.49,0,0
City Hotel,0,19,2016,January,0,6,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,B,D,No Deposit,0,Transient,109.3,0,1
Resort Hotel,1,157,2016,July,4,2,2,0,0,SC,BEL,Online TA,GDS,0,0,0,B,D,No Deposit,0,Transient,51.32,0,0
City Hotel,0,110,2017,April,2,5,1,0,1,FB,NLD,Online TA,Direct,0,0,0,F,B,No Deposit,0,Transient,70.91,0,2
City Hotel,0,34,2016,March,4,1,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,No Deposit,2,Transient,149.23,0,1
City Hotel,1,91,2017,June,0,2,2,0,0,SC,NLD,Corporate,TA/TO,0,0,0,A,E,No Deposit,0,Transient,55.59,0,0
City Hotel,0,16,2016,March,1,6,2,0,0,HB,ITA,Corporate,TA/TO,0,0,0,F,F,No Deposit,0,Transient,44.45,0,0
City Hotel,0,38,2015,December,3,0,2,0,0,Undefined,BRA,Direct,GDS,0,0,0,E,F,No Deposit,0,Transient,59.1,0,1
Resort Hotel,0,37,2015,November,1,6,2,0,0,BB,ITA,Direct,TA/TO,0,0,0,B,D,No Deposit,0,Transient,134.61,0,1
Resort Hotel,0,21,2015,October,0,6,1,0,0,SC,BEL,Online TA,TA/TO,0,0,1,F,D,No Deposit,0,Transient,69.6,0,5
City Hotel,1,167,2015,March,1,8,2,1,0,BB,ITA,Online TA,TA/TO,0,0,0,F,B,Non Refund,5,Transient,188.66,0,1
